#
#  chlamycyc 8.0 Genes link table generated on Fri Jun 29, 2018
#  All columns are separated by tab characters.
#  Columns are: 
#
#  GENE-ID  EG#  b#  y-name  CGSC-ID  UniProt-ID  GENE-NAME  
#
#   GENE-ID      = Pathway Tools unique identifier for the gene
#   UniProt-ID = Swiss-Prot identifier
#   GENE-NAME    = Pathway Tools gene name
#
#
GIO2-630		Cre03.g182200	
GIO2-520		Cre16.g652750	
GIO2-452		Cre12.g558400	
GIO2-2950		Cre17.g696600	
GIO2-1752		Cre12.g505400	
GIO2-2643		Cre07.g331550	
GIO2-1237		Cre10.g451400	
GIO2-3490		Cre06.g296400	
GIO2-1393		Cre11.g468550	
GIO2-1198		Cre16.g685573	
CHRECP040	P48268	psbE	
GIO2-3311		Cre13.g574800	
GIO2-347		Cre17.g700650	
GIO2-4895		Cre14.g626400	
GIO2-5304		Cre06.g269200	
GIO2-4763		Cre02.g082550	
GIO2-1094		Cre13.g570350	
GIO2-4038		Cre07.g322884	
GIO2-1884		Cre12.g548651	
GIO2-1066		Cre16.g676800	
CHLREDRAFT_186531	Q9AXJ2	PSAN	
GIO2-1394		Cre02.g142351	
GIO2-2857		Cre01.g005200	
GIO2-4072		Cre01.g019250	
GIO2-5149		Cre13.g591600	
GIO2-1885		Cre09.g409350	
GIO2-4939		Cre08.g362900	
GIO2-4927		Cre02.g098350	
GIO2-510		Cre03.g177400	
GIO2-1077		Cre12.g547800	
GIO2-2496		Cre12.g510650	
GIO2-2942		Cre07.g352450	
GIO2-5151		Cre03.g192450	
GIO2-2514		Cre05.g245450	
GIO2-623		Cre08.g358800	
GIO2-556		Cre10.g464900	
GIO2-4587		Cre12.g513200	
GIO2-5266		Cre06.g297082	
GIO2-5138		Cre05.g234666	
GIO2-3713		Cre12.g499300	
GIO2-1018		Cre11.g467689	
GIO2-4604		Cre09.g407801	
GIO2-3901		Cre03.g144524	
GIO2-4771		Cre12.g504050	
GIO2-2787		Cre12.g516550	
GIO2-481		Cre07.g347200	
GIO2-3814		Cre08.g385500	
GIO2-800		Cre24.g755097	
GIO2-5010		Cre05.g246552	
GIO2-1569		Cre02.g078650	
GIO2-1300		Cre17.g704150	
GIO2-547		Cre12.g551353	
GIO2-1452		Cre04.g216350	
GIO2-1553		Cre05.g232002	
GIO2-4813		Cre13.g588150	
GIO2-4200		Cre04.g215400	
GIO2-496		Cre01.g028250	
GIO2-4778		Cre06.g278094	
GIO2-1384		Cre10.g431250	
GIO2-3179		Cre16.g671350	
GIO2-1571		Cre02.g097800	
GIO2-883		Cre09.g396698	
GIO2-1189		Cre12.g514000	
GIO2-1498		Cre16.g669650	
GIO2-1468		Cre03.g206550	
GIO2-1236		Cre02.g144250	
GIO2-658		Cre06.g278110	
GIO2-730		Cre10.g428150	
GIO2-4733		Cre17.g729950	
GIO2-862		Cre06.g290800	
GIO2-3411		Cre01.g011100	
GIO2-4993		Cre09.g411500	
GIO2-2896		Cre06.g251500	
GIO2-1113		Cre12.g538350	
GIO2-553		Cre03.g144807	
GIO2-1375		Cre16.g653850	
GIO2-805		Cre17.g737525	
GIO2-4652		Cre12.g509750	
GIO2-3071		Cre03.g199800	
GIO2-4714		Cre02.g114250	
GIO2-1510		Cre07.g323750	
GIO2-4031		Cre16.g677450	
GIO2-1337		Cre02.g102500	
GIO2-1903	A8HQ36	CrACR2.1	
GIO2-3245		Cre09.g409100	
GIO2-1222		Cre01.g016528	
GIO2-4353		Cre13.g602350	
GIO2-1182		Cre05.g233450	
GIO2-1114		Cre10.g440250	
GIO2-1208		Cre14.g615650	
GIO2-3981		Cre12.g484000	
GIO2-799		Cre16.g682725	
GIO2-318		Cre10.g447550	
GIO2-3313		Cre04.g228650	
GIO2-1283		Cre09.g394900	
GIO2-608		Cre03.g204751	
GIO2-1217		Cre03.g150600	
GIO2-1860		Cre14.g624450	
GIO2-638		Cre13.g564800	
GIO2-2987		Cre12.g524000	
GIO2-601		Cre13.g604700	
GIO2-1111		Cre06.g278249	
GIO2-3660		Cre03.g180300	
CHLREDRAFT_194337	Q6IYG1	NAR1.3	
GIO2-4686		Cre02.g095250	
GIO2-3552		Cre06.g296550	
GIO2-1431		Cre08.g384800	
GIO2-2760		Cre13.g587100	
GIO2-1179		Cre09.g396994	
GIO2-2968		Cre09.g393900	
CHREPMP07	P11658	nad1	
GIO2-1102		Cre16.g663850	
CHLREDRAFT_186185	Q6V506	NUOA9	
GIO2-1639		Cre03.g201300	
GIO2-2389		Cre12.g555500	
GIO2-807		Cre03.g204050	
