GIO2-4174-MONOMER	GIO2-4174		Cre06.g306300.t1.2	
GIO2-2593-MONOMER	GIO2-2593		Cre01.g051800.t1.1	
GIO2-1386-MONOMER	GIO2-1386		Cre04.g214150.t1.1	
GIO2-2626-MONOMER	GIO2-2626		Cre04.g215000.t1.2	
CHLREDRAFT_154398-MONOMER	CHLREDRAFT_154398	Q66T67	154398	154398
GIO2-773-MONOMER	GIO2-773		Cre08.g360050.t1.1	
GIO2-1623-MONOMER	GIO2-1623		Cre07.g356450.t1.1	
GIO2-4943-MONOMER	GIO2-4943		Cre16.g657250.t1.2	
GIO2-209-MONOMER	GIO2-209		Cre13.g607000.t1.2	
GIO2-1830-MONOMER	GIO2-1830		Cre13.g607600.t1.1	
CHLREDRAFT_205752-MONOMER	CHLREDRAFT_205752	A8J270	Chlorophyll a-b binding protein of LHCII	
GIO2-1270-MONOMER	GIO2-1270		Cre10.g428500.t1.1	
CHLREDRAFT_182533-MONOMER	CHLREDRAFT_182533	A8HZ87	182533	182533
CHLREDRAFT_190371-MONOMER	CHLREDRAFT_190371	A8IW47	190371	190371
GIO2-2516-MONOMER	GIO2-2516		Cre09.g411900.t1.1	
MONOMER-17834	G-15489		pheophorbide demethoxycarbonylase	
GIO2-1209-MONOMER	GIO2-1209		Cre12.g495100.t1.2	
GIO2-2021-MONOMER	GIO2-2021		Cre03.g149600.t1.1	
GIO2-4481-MONOMER	GIO2-4481		Cre36.g759647.t1.1	
GIO2-3623-MONOMER	GIO2-3623		Cre08.g359700.t1.2	
GIO2-4981-MONOMER	GIO2-4981		Cre16.g660390.t1.1	
GIO2-534-MONOMER	GIO2-534		Cre03.g146287.t1.1	
GIO2-1420-MONOMER	GIO2-1420		Cre06.g270500.t1.1	
CPLX-8669				
GIO2-621-MONOMER	GIO2-621		Cre06.g262400.t1.1	
GIO2-1277-MONOMER	GIO2-1277		Cre01.g018100.t1.2	
GIO2-4714-MONOMER	GIO2-4714		Cre02.g114250.t1.2	
GIO2-1683-MONOMER	GIO2-1683		Cre12.g500500.t1.1	
GIO2-401-MONOMER	GIO2-401		Cre08.g385750.t1.2	
GIO2-1641-MONOMER	GIO2-1641		Cre16.g687070.t1.1	
GIO2-1060-MONOMER	GIO2-1060		Cre07.g342900.t1.1	
GIO2-254-MONOMER	GIO2-254		Cre12.g549550.t1.2	
GIO2-2885-MONOMER	GIO2-2885		Cre01.g023787.t1.1	
GIO2-799-MONOMER	GIO2-799		Cre16.g682725.t1.1	
GIO2-2791-MONOMER	GIO2-2791		Cre16.g659200.t1.1	
GIO2-435-MONOMER	GIO2-435		Cre16.g692800.t1.1	
GIO2-3665-MONOMER	GIO2-3665		Cre10.g430450.t1.2	
GIO2-2963-MONOMER	GIO2-2963		Cre03.g182100.t1.1	
GIO2-2381-MONOMER	GIO2-2381		Cre01.g033350.t1.2	
GIO2-3383-MONOMER	GIO2-3383		Cre04.g223050.t1.2	
GIO2-3771-MONOMER	GIO2-3771		Cre11.g467778.t1.1	
GIO2-999-MONOMER	GIO2-999		Cre01.g036350.t1.1	
GIO2-2178-MONOMER	GIO2-2178		Cre08.g368400.t1.2	
GIO2-4436-MONOMER	GIO2-4436		Cre09.g388800.t1.2	
GIO2-4960-MONOMER	GIO2-4960		Cre11.g481500.t1.2	
GIO2-3216-MONOMER	GIO2-3216		Cre01.g005850.t1.2	
GIO2-1554-MONOMER	GIO2-1554		Cre12.g528850.t1.1	
CHRECP004-MONOMER	CHRECP004	P18263	Photosystem II reaction center protein K	PsbK
GIO2-4484-MONOMER	GIO2-4484		Cre10.g438650.t1.2	
GIO2-1070-MONOMER	GIO2-1070		Cre01.g047850.t1.2	
GIO2-3608-MONOMER	GIO2-3608		Cre07.g331800.t1.2	
GIO2-5000-MONOMER	GIO2-5000		Cre03.g163950.t1.1	
GIO2-4173-MONOMER	GIO2-4173		Cre03.g180450.t1.2	
GIO2-806-MONOMER	GIO2-806		Cre07.g315100.t1.2	
GIO2-4261-MONOMER	GIO2-4261		Cre09.g407200.t1.2	
GIO2-411-MONOMER	GIO2-411		Cre12.g555250.t1.2	
GIO2-1614-MONOMER	GIO2-1614		Cre06.g307100.t1.1	
GIO2-5333-MONOMER	GIO2-5333		Cre10.g430200.t2.1	
GIO2-2922-MONOMER	GIO2-2922		Cre11.g467550.t1.2	
GIO2-1761-MONOMER	GIO2-1761		Cre06.g278109.t1.1	
GIO2-888-MONOMER	GIO2-888		Cre03.g164150.t1.1	
GIO2-1468-MONOMER	GIO2-1468		Cre03.g206550.t1.2	
GIO2-1511-MONOMER	GIO2-1511		Cre02.g082500.t1.1	
GIO2-2334-MONOMER	GIO2-2334		Cre07.g321700.t1.2	
GIO2-636-MONOMER	GIO2-636		Cre04.g214650.t1.1	
GIO2-3695-MONOMER	GIO2-3695		Cre18.g749847.t1.1	
GIO2-460-MONOMER	GIO2-460		Cre06.g273750.t1.1	
GIO2-1802-MONOMER	GIO2-1802		Cre03.g169550.t1.1	
GIO2-2026-MONOMER	GIO2-2026		Cre10.g456750.t1.2	
GIO2-5036-MONOMER	GIO2-5036		Cre11.g468350.t1.2	
GIO2-2674-MONOMER	GIO2-2674		Cre01.g044100.t1.2	
GIO2-4957-MONOMER	GIO2-4957		Cre11.g467687.t1.1	
GIO2-68-MONOMER	GIO2-68		Cre07.g325500.t1.1	
GIO2-1265-MONOMER	GIO2-1265		Cre11.g467688.t1.1	
GIO2-4755-MONOMER	GIO2-4755		Cre03.g152950.t1.1	
GIO2-4715-MONOMER	GIO2-4715		Cre06.g278086.t1.1	
GIO2-1565-MONOMER	GIO2-1565		Cre12.g511200.t1.2	
GIO2-4038-MONOMER	GIO2-4038		Cre07.g322884.t1.2	
GIO2-5014-MONOMER	GIO2-5014		Cre10.g430800.t1.1	
GIO2-5266-MONOMER	GIO2-5266		Cre06.g297082.t1.1	
GIO2-2073-MONOMER	GIO2-2073		Cre06.g272050.t1.2	
GIO2-3519-MONOMER	GIO2-3519		Cre16.g669550.t1.2	
CHLREDRAFT_192142-MONOMER	CHLREDRAFT_192142		192142	192142
GIO2-5159-MONOMER	GIO2-5159		Cre09.g387319.t1.1	
GIO2-4587-MONOMER	GIO2-4587		Cre12.g513200.t1.2	
GIO2-1375-MONOMER	GIO2-1375		Cre16.g653850.t1.1	
GIO2-5182-MONOMER	GIO2-5182		Cre09.g390750.t1.1	
GIO2-1566-MONOMER	GIO2-1566		Cre16.g681800.t1.1	
GIO2-1750-MONOMER	GIO2-1750		Cre03.g145127.t1.1	
GIO2-2760-MONOMER	GIO2-2760		Cre13.g587100.t1.2	
GIO2-291-MONOMER	GIO2-291		Cre16.g648700.t1.1	
GIO2-691-MONOMER	GIO2-691		Cre07.g313350.t1.2	
GIO2-1243-MONOMER	GIO2-1243		Cre10.g428678.t1.1	
GIO2-734-MONOMER	GIO2-734		Cre09.g389950.t1.2	
GIO2-1208-MONOMER	GIO2-1208		Cre14.g615650.t1.2	
GIO2-1204-MONOMER	GIO2-1204		Cre12.g533700.t1.1	
GIO2-5184-MONOMER	GIO2-5184		Cre14.g624201.t1.1	
GIO2-1101-MONOMER	GIO2-1101		Cre03.g194700.t1.1	
GIO2-1724-MONOMER	GIO2-1724		Cre02.g107050.t1.1	
GIO2-5147-MONOMER	GIO2-5147		Cre10.g426292.t1.1	
GIO2-1262-MONOMER	GIO2-1262		Cre16.g677550.t1.1	
GIO2-4015-MONOMER	GIO2-4015		Cre05.g240000.t1.2	
GIO2-1811-MONOMER	GIO2-1811		Cre08.g363874.t1.1	
GIO2-5080-MONOMER	GIO2-5080		Cre04.g218500.t1.2	
GIO2-908-MONOMER	GIO2-908		Cre06.g261200.t1.2	
GIO2-2257-MONOMER	GIO2-2257		Cre10.g431650.t1.2	
GIO2-731-MONOMER	GIO2-731		Cre06.g284800.t1.2	
GIO2-5168-MONOMER	GIO2-5168		Cre03.g177300.t1.2	
GIO2-1487-MONOMER	GIO2-1487		Cre08.g360450.t1.1	
GIO2-552-MONOMER	GIO2-552		Cre02.g095200.t1.2	
GIO2-1720-MONOMER	GIO2-1720		Cre03.g194650.t1.1	
